id,userId,status,paymentStatus,subtotal,tax,shippingCost,totalAmount,shippingAddress,billingAddress,paymentMethod,orderNotes,createdAt,updatedAt
order-18,282518af-d8dc-4d97-bc89-b0f7cb0e414c,PROCESSING,PENDING,402.65,40.28,16.57,459.49999999999994,Sample Address 18,Sample Billing Address 18,PAYPAL,Sample order notes 18,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-19,04eeab93-ba58-4f6c-8689-bdd63bbaa6c7,PROCESSING,PENDING,256.43,25.76,9.51,291.7,Sample Address 19,Sample Billing Address 19,BANK_TRANSFER,Sample order notes 19,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-20,06c510a7-8c4f-4f5b-b0a9-6085e5b5e64c,DELIVERED,PENDING,203.81,6.31,6.58,216.70000000000002,Sample Address 20,Sample Billing Address 20,BANK_TRANSFER,Sample order notes 20,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-21,2aedfb14-7800-42fc-b799-5e94423d0550,SHIPPED,PENDING,479.06,16.02,11.68,506.76,Sample Address 21,Sample Billing Address 21,CREDIT_CARD,Sample order notes 21,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-22,256a8e30-c02b-48c5-89a7-806a70b374b5,SHIPPED,PENDING,212.23,32.75,21.87,266.84999999999997,Sample Address 22,Sample Billing Address 22,CREDIT_CARD,Sample order notes 22,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-23,129c85be-1258-40dd-b21f-20f22a82082b,DELIVERED,PENDING,375.01,22.8,15.77,413.58,Sample Address 23,Sample Billing Address 23,BANK_TRANSFER,Sample order notes 23,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-24,2d948ec3-dad9-4bee-97e8-5a183b3ab1ab,SHIPPED,COMPLETED,476.24,46.02,9.21,531.47,Sample Address 24,Sample Billing Address 24,PAYPAL,Sample order notes 24,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-25,2b922c0c-7881-447a-ae40-9ad0d47bb6da,PROCESSING,COMPLETED,184.18,48.82,10.24,243.24,Sample Address 25,Sample Billing Address 25,CREDIT_CARD,Sample order notes 25,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-26,13b034b0-e5f9-4452-89df-04feb7fcc34c,PENDING,COMPLETED,212.64,15.89,24.72,253.24999999999997,Sample Address 26,Sample Billing Address 26,BANK_TRANSFER,Sample order notes 26,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-27,2038f131-838f-47e1-b236-ede9b6327fff,SHIPPED,COMPLETED,109.88,24.63,23.06,157.57,Sample Address 27,Sample Billing Address 27,BANK_TRANSFER,Sample order notes 27,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-28,0f292d0c-e18b-4021-b482-1a5a04194245,DELIVERED,COMPLETED,330.08,18.57,18.73,367.38,Sample Address 28,Sample Billing Address 28,BANK_TRANSFER,Sample order notes 28,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-29,1008bd10-82a1-491d-92e0-1712e4b8d2c6,SHIPPED,COMPLETED,235.31,12.62,19.92,267.85,Sample Address 29,Sample Billing Address 29,CREDIT_CARD,Sample order notes 29,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
order-30,1057e190-e1f8-4188-9d42-080bc8e8570b,DELIVERED,COMPLETED,369.07,30.84,18.76,418.66999999999996,Sample Address 30,Sample Billing Address 30,PAYPAL,Sample order notes 30,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
